CUSTOMERNAME,Total_Revenue,Order_Frequency,Total_Units_Ordered,Cluster_Tier,BD_Priority_Tier
Super Scale Inc.,79472.07,2,636,0,Tier 2: Focus 15% (Nurture/Upsell)
Technics Stores Inc.,120783.07,4,1179,2,Tier 1: Focus 80% (High-Value ICP)
Tekni Collectables Inc.,83228.19,3,906,0,Tier 2: Focus 15% (Nurture/Upsell)
The Sharp Gifts Warehouse,160010.27,4,1656,2,Tier 1: Focus 80% (High-Value ICP)
"Tokyo Collectables, Ltd",120562.74,4,1150,2,Tier 1: Focus 80% (High-Value ICP)
"Toms Spezialitten, Ltd",100306.58,2,936,0,Tier 2: Focus 15% (Nurture/Upsell)
"Toys of Finland, Co.",111250.38,3,1051,0,Tier 2: Focus 15% (Nurture/Upsell)
Toys4GrownUps.com,104561.95999999999,3,1060,0,Tier 2: Focus 15% (Nurture/Upsell)
"UK Collectables, Ltd.",118008.27,3,1046,0,Tier 2: Focus 15% (Nurture/Upsell)
"Vida Sport, Ltd",117713.56,2,1078,0,Tier 2: Focus 15% (Nurture/Upsell)
Vitachrome Inc.,88041.26,3,787,0,Tier 2: Focus 15% (Nurture/Upsell)
"Volvo Model Replicas, Co",75754.88,4,647,0,Tier 2: Focus 15% (Nurture/Upsell)
West Coast Collectables Co.,46084.64,2,511,0,Tier 2: Focus 15% (Nurture/Upsell)
giftsbymail.co.uk,78240.84,2,895,0,Tier 2: Focus 15% (Nurture/Upsell)
